Time,Time Code,Country Name,Country Code,Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],Trade (% of GDP) [NE.TRD.GNFS.ZS],Gross national expenditure (% of GDP) [NE.DAB.TOTL.ZS],Gross savings (% of GDP) [NY.GNS.ICTR.ZS],Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]","Foreign direct investment, net outflows (% of GDP) [BM.KLT.DINV.WD.GD.ZS]",Final consumption expenditure (% of GDP) [NE.CON.TOTL.ZS],"Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]",Trade in services (% of GDP) [BG.GSR.NFSV.GD.ZS],"Services, value added (% of GDP) [NV.SRV.TOTL.ZS]","Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]","Population, total [SP.POP.TOTL]",GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]
2022,YR2022,Germany,DEU,50.33785444,48.2812997,98.61915414,97.94344526,28.5176913,24.82980567,1.163376391,4.392450972,73.1136396,26.67731216,21.81731239,62.6827168,18.45047258,84079811,0.715380074,1.78520821
2022,YR2022,United Kingdom,GBR,32.72264633,36.20039514,68.92304148,102.7162399,15.75773655,18.7686604,1.437045859,5.17561175,83.94757948,17.86099923,26.3433468,70.95395944,8.445519858,66971411,4.186941875,4.101621381
2022,YR2022,France,FRA,34.01277399,38.13073913,72.14351312,104.118003,23.65302661,26.61927345,3.78830559,4.267444132,77.49872953,17.38281834,22.71725356,70.31819195,9.321519212,67935660,2.281547291,2.562393564
2022,YR2022,Italy,ITA,37.14961436,38.6903652,75.83997956,101.5407508,20.4351717,21.7513562,1.553302055,0.449901989,79.78939463,23.03198129,12.77342683,64.79331993,14.12333717,58856847,4.120020347,3.674683255
2022,YR2022,Spain,ESP,41.55132815,40.1418724,81.69320055,98.59054425,21.60898032,21.02971273,3.026393512,3.132654636,77.56083152,20.76138491,18.21010672,67.74490094,11.64223258,47615034,5.01039069,5.451739623
2022,YR2022,Netherlands,NLD,92.63769329,83.21288247,175.8505758,90.57518918,26.19051151,21.43391423,-1.160970211,12.70226554,69.14127494,18.91326475,40.05125301,68.84207797,10.96106402,17703090,3.474680351,4.478240001
2022,YR2022,Switzerland,CHE,74.97470842,62.69696507,137.6716735,87.72225653,29.68858608,25.63352164,3.430372516,1.042427351,62.08873489,24.19669934,37.8328719,72.38673,17.81984765,8769741,1.287236846,2.05923242
2022,YR2022,Poland,POL,61.71827657,60.60539977,122.3236763,98.88712319,20.24706163,23.9834079,5.130223796,1.071672582,74.90371529,29.83298699,22.23237446,56.82302032,17.69474122,37561599,5.392019451,4.874023579
2022,YR2022,Sweden,SWE,52.58635352,50.1589515,102.745305,97.57259798,32.60225124,28.13461808,8.541227627,10.8717027,69.43797989,23.71595198,33.04015105,63.86536302,12.60068616,10486941,1.946023171,2.64221674
2022,YR2022,Belgium,BEL,95.32847204,97.74575298,193.074225,102.4172627,16.32874804,27.65974795,1.692517422,6.423663479,74.75751479,20.72203389,48.82361577,68.25745164,12.60708315,11669446,2.571040719,3.247837207
